証券コード,企業名,17業種区分,EDINETコード
1301,極洋,食品,E00012
1332,ニッスイ,食品,E00014
1333,マルハニチロ,食品,E00015
1375,ユキグニファクトリー,食品,E00007
1379,ホクト,食品,E00008
1384,ホクリヨウ,食品,E31220
1417,ミライト・ワン,建設・資材,E24558
1418,インターライフホールディングス,建設・資材,E24512
1429,日本アクア,建設・資材,E30126
1433,ベステラ,建設・資材,E31731
1435,ｒｏｂｏｔ　ｈｏｍｅ,不動産,E31925
1436,グリーンエナジー＆カンパニー,建設・資材,E32163
1443,技研ホールディングス,建設・資材,E33535
1447,ＳＡＡＦホールディングス,建設・資材,E34165
1491,中外鉱業,鉄鋼・非鉄,E00027
1514,住石ホールディングス,エネルギー資源,E21342
1515,日鉄鉱業,エネルギー資源,E00036
1518,三井松島ホールディングス,情報通信・サービスその他,E00037
1605,ＩＮＰＥＸ,エネルギー資源,E00043
1662,石油資源開発,エネルギー資源,E00041
1663,Ｋ＆Ｏエナジーグループ,エネルギー資源,E30048
1711,ＳＤＳホールディングス,建設・資材,E05452
1712,ダイセキ環境ソリューション,建設・資材,E05444
1717,明豊ファシリティワークス,情報通信・サービスその他,E05377
1718,美樹工業,建設・資材,E00315
1719,安藤・間,建設・資材,E00317
1721,コムシスホールディングス,建設・資材,E00322
1723,日本電技,建設・資材,E00313
1724,シンクレイヤ,建設・資材,E05326
1726,ビーアールホールディングス,建設・資材,E00312
1736,オーテック,建設・資材,E00304
1758,太洋基礎工業,建設・資材,E00287
1762,高松コンストラクショングループ,建設・資材,E00285
1766,東建コーポレーション,建設・資材,E00281
1768,ソネック,建設・資材,E00279
1776,三井住建道路,建設・資材,E00272
1786,オリエンタル白石,建設・資材,E36102
1787,ナカボーテック,建設・資材,E00260
1793,大本組,建設・資材,E00255
1798,守谷商会,建設・資材,E00251
1799,第一建設工業,建設・資材,E00250
1801,大成建設,建設・資材,E00052
1802,大林組,建設・資材,E00055
1803,清水建設,建設・資材,E00053
1807,佐藤渡辺,建設・資材,E00167
1808,長谷工コーポレーション,建設・資材,E00090
1811,錢高組,建設・資材,E00069
1812,鹿島建設,建設・資材,E00058
1813,不動テトラ,建設・資材,E00097
1814,大末建設,建設・資材,E00093
1815,鉄建建設,建設・資材,E00065
1822,大豊建設,建設・資材,E00095
1826,佐田建設,建設・資材,E00121
1827,ナカノフドー建設,建設・資材,E00105
1828,田辺工業,建設・資材,E00242
1833,奥村組,建設・資材,E00083
1835,東鉄工業,建設・資材,E00112
1841,サンユー建設,建設・資材,E00101
1847,イチケン,建設・資材,E00117
1848,富士ピー・エス,建設・資材,E00238
1852,淺沼組,建設・資材,E00120
1853,森組,建設・資材,E00130
1861,熊谷組,建設・資材,E00056
1866,北野建設,建設・資材,E00175
1867,植木組,建設・資材,E00179
1871,ピーエス・コンストラクション,建設・資材,E01161
1873,日本ハウスホールディングス,建設・資材,E00197
1878,大東建託,不動産,E00218
1879,新日本建設,建設・資材,E00221
1882,東亜道路工業,建設・資材,E00066
1885,東亜建設工業,建設・資材,E00080
1888,若築建設,建設・資材,E00081
1893,五洋建設,建設・資材,E00086
1897,金下建設,建設・資材,E00133
1898,世紀東急工業,建設・資材,E00176
1899,福田組,建設・資材,E00196
1904,大成温調,建設・資材,E00233
1905,テノックス,建設・資材,E00232
1909,日本ドライケミカル,機械,E25282
1911,住友林業,建設・資材,E00011
1914,日本基礎技術,建設・資材,E00204
1921,巴コーポレーション,建設・資材,E01394
1925,大和ハウス工業,建設・資材,E00048
1926,ライト工業,建設・資材,E00098
1928,積水ハウス,建設・資材,E00143
1929,日特建設,建設・資材,E00142
1934,ユアテック,建設・資材,E00137
1938,日本リーテック,建設・資材,E00185
1939,四電工,建設・資材,E00181
1941,中電工,建設・資材,E00073
1942,関電工,建設・資材,E00074
1944,きんでん,建設・資材,E00075
1945,東京エネシス,建設・資材,E00092
1946,トーエネック,建設・資材,E00076
1948,弘電社,建設・資材,E02569
1949,住友電設,建設・資材,E00114
1951,エクシオグループ,建設・資材,E00094
1952,新日本空調,建設・資材,E00227
1959,クラフティア,建設・資材,E00146
1961,三機工業,建設・資材,E00107
1963,日揮ホールディングス,建設・資材,E01575
1964,中外炉工業,建設・資材,E00119
1965,テクノ菱和,建設・資材,E00225
1966,高田工業所,建設・資材,E00209
1967,ヤマト,建設・資材,E00138
1968,太平電業,建設・資材,E00113
1969,高砂熱学工業,建設・資材,E00149
1972,三晃金属工業,建設・資材,E00109
1975,朝日工業社,建設・資材,E00153
1976,明星工業,建設・資材,E00161
1979,大氣社,建設・資材,E00183
1981,協和日成,建設・資材,E00189
1982,日比谷総合設備,建設・資材,E00168
1992,神田通信機,建設・資材,E00182
1994,高橋カーテンウォール工業,建設・資材,E00222
2001,ニップン,食品,E00345
2002,日清製粉グループ本社,食品,E00346
2003,日東富士製粉,食品,E00347
2004,昭和産業,食品,E00348
2009,鳥越製粉,食品,E00351
2053,中部飼料,食品,E00439
2055,日和産業,食品,E00454
2108,日本甜菜製糖,食品,E00355
2109,ＤＭ三井製糖,食品,E00356
2112,塩水港精糖,食品,E00361
2114,フジ日本,食品,E00360
2117,ウェルネオシュガー,食品,E25648
2121,ＭＩＸＩ,情報通信・サービスその他,E05617
2124,ジェイエイシーリクルートメント,情報通信・サービスその他,E05625
2127,日本Ｍ＆Ａセンターホールディングス,情報通信・サービスその他,E05629
2134,北浜キャピタルパートナーズ,情報通信・サービスその他,E03745
2136,ヒップ,情報通信・サービスその他,E05657
2138,クルーズ,情報通信・サービスその他,E05621
2139,中広,情報通信・サービスその他,E05668
2146,ＵＴグループ,情報通信・サービスその他,E05698
2148,アイティメディア,情報通信・サービスその他,E05686
2152,幼児活動研究会,情報通信・サービスその他,E05691
2156,セーラー広告,情報通信・サービスその他,E05701
2158,ＦＲＯＮＴＥＯ,情報通信・サービスその他,E05700
2162,ｎｍｓ　ホールディングス,情報通信・サービスその他,E05676
2163,アルトナー,情報通信・サービスその他,E05717
2169,ＣＤＳ,情報通信・サービスその他,E05726
2173,博展,情報通信・サービスその他,E05737
2175,エス・エム・エス,情報通信・サービスその他,E05697
2179,成学社,情報通信・サービスその他,E21514
2181,パーソルホールディングス,情報通信・サービスその他,E21261
2183,リニカル,情報通信・サービスその他,E21706
2186,ソーバル,情報通信・サービスその他,E22049
2193,クックパッド,情報通信・サービスその他,E22663
2195,アミタホールディングス,情報通信・サービスその他,E23634
2196,エスクリ,情報通信・サービスその他,E24017
2201,森永製菓,食品,E00369
2204,中村屋,食品,E00372
2206,江崎グリコ,食品,E00373
2207,ｍｅｉｔｏ,食品,E00376
2208,ブルボン,食品,E00380
2209,井村屋グループ,食品,E00371
2211,不二家,食品,E00374
2212,山崎製パン,食品,E00375
2215,第一屋製パン,食品,E00377
2216,カンロ,食品,E00378
2217,モロゾフ,食品,E00381
2221,岩塚製菓,食品,E00386
2222,寿スピリッツ,食品,E00387
2224,コモ,食品,E00388
2226,湖池屋,食品,E00389
2229,カルビー,食品,E25303
2264,森永乳業,食品,E00331
2266,六甲バター,食品,E00337
2267,ヤクルト本社,食品,E00406
2268,Ｂ－Ｒ　サーティワン　アイスクリーム,食品,E00474
2269,明治ホールディングス,食品,E21902
2281,プリマハム,食品,E00335
2282,日本ハム,食品,E00334
2286,林兼産業,食品,E00443
2288,丸大食品,食品,E00458
2291,福留ハム,食品,E00341
2292,Ｓ　Ｆｏｏｄｓ,食品,E00342
2293,滝沢ハム,食品,E00343
2294,柿安本店,食品,E03283
2296,伊藤ハム米久ホールディングス,食品,E32069
2305,スタジオアリス,情報通信・サービスその他,E03393
2307,クロスキャット,情報通信・サービスその他,E05291
2311,エプコ,情報通信・サービスその他,E05293
2317,システナ,情報通信・サービスその他,E05283
2321,ソフトフロントホールディングス,情報通信・サービスその他,E05297
2323,ｆｏｎｆｕｎ,情報通信・サービスその他,E05302
2325,ＮＪＳ,情報通信・サービスその他,E05299
2326,デジタルアーツ,情報通信・サービスその他,E05303
2327,日鉄ソリューションズ,情報通信・サービスその他,E05304
2329,東北新社,情報通信・サービスその他,E05307
2331,ＡＬＳＯＫ,情報通信・サービスその他,E05309
2332,クエスト,情報通信・サービスその他,E05310
2334,イオレ,情報通信・サービスその他,E33595
2335,キューブシステム,情報通信・サービスその他,E05312
2337,いちご,不動産,E05314
2338,クオンタムソリューションズ,情報通信・サービスその他,E05315
2341,アルバイトタイムス,情報通信・サービスその他,E05316
2342,トランスジェニックグループ,情報通信・サービスその他,E05317
2344,平安レイサービス,情報通信・サービスその他,E05319
2349,エヌアイデイ,情報通信・サービスその他,E05322
2351,ＡＳＪ,情報通信・サービスその他,E05324
2354,ＹＥ　ＤＩＧＩＴＡＬ,情報通信・サービスその他,E05328
2359,コア,情報通信・サービスその他,E05332
2371,カカクコム,情報通信・サービスその他,E05350
2374,セントケア・ホールディング,情報通信・サービスその他,E05354
2376,サイネックス,情報通信・サービスその他,E00744
2378,ルネサンス,情報通信・サービスその他,E05361
2379,ディップ,情報通信・サービスその他,E05368
2384,ＳＢＳホールディングス,運輸・物流,E04224
2389,デジタルホールディングス,情報通信・サービスその他,E05374
2393,日本ケアサプライ,情報通信・サービスその他,E05381
2395,新日本科学,情報通信・サービスその他,E05385
2408,ＫＧ情報,情報通信・サービスその他,E05416
2411,ゲンダイエージェンシー,情報通信・サービスその他,E05417
2413,エムスリー,情報通信・サービスその他,E05425
2415,ヒューマンホールディングス,情報通信・サービスその他,E05428
2418,ツカダ・グローバルホールディング,情報通信・サービスその他,E05411
2425,ケアサービス,情報通信・サービスその他,E05440
2429,ワールドホールディングス,情報通信・サービスその他,E05467
2432,ディー・エヌ・エー,情報通信・サービスその他,E05460
2433,博報堂ＤＹホールディングス,情報通信・サービスその他,E05410
2435,シダー,情報通信・サービスその他,E05478
2436,共同ピーアール,情報通信・サービスその他,E05477
2438,アスカネット,情報通信・サービスその他,E05483
2445,タカミヤ,情報通信・サービスその他,E05493
2454,オールアバウト,情報通信・サービスその他,E05514
2461,ファンコミュニケーションズ,情報通信・サービスその他,E05533
2464,Ａｏｂａ‐ＢＢＴ,情報通信・サービスその他,E05524
2469,ヒビノ,情報通信・サービスその他,E05550
2475,ＷＤＢホールディングス,情報通信・サービスその他,E05560
2479,ジェイテック,情報通信・サービスその他,E05569
2483,翻訳センター,情報通信・サービスその他,E05579
2488,ＪＴＰ,情報通信・サービスその他,E05593
2489,アドウェイズ,情報通信・サービスその他,E05599
2491,バリューコマース,情報通信・サービスその他,E05149
2492,インフォマート,情報通信・サービスその他,E05609
2497,ユナイテッド,情報通信・サービスその他,E05562
2499,日本和装ホールディングス,情報通信・サービスその他,E05631
2501,サッポロホールディングス,食品,E00393
2502,アサヒグループホールディングス,食品,E00394
2503,キリンホールディングス,食品,E00395
2531,宝ホールディングス,食品,E00396
2533,オエノンホールディングス,食品,E00397
2573,北海道コカ・コーラボトリング,食品,E00408
2579,コカ・コーラ　ボトラーズジャパンホールディングス,食品,E00417
2585,ライフドリンク　カンパニー,食品,E37165
2586,フルッタフルッタ,食品,E31035
2587,サントリー食品インターナショナル,食品,E27622
2588,プレミアムウォーターホールディングス,食品,E27294
2593,伊藤園,食品,E00414
2594,キーコーヒー,食品,E00491
2597,ユニカフェ,食品,E00505
2602,日清オイリオグループ,食品,E00428
2607,不二製油,食品,E00431
2612,かどや製油,食品,E00433
2613,Ｊ－オイルミルズ,食品,E00434
2653,イオン九州,小売,E03349
2654,アスモ,小売,E02917
2656,ベクターホールディングス,小売,E05112
2659,サンエー,小売,E03352
2664,カワチ薬品,小売,E03356
2666,オートウェーブ,小売,E03355
2668,タビオ,商社・卸売,E02923
2669,カネ美食品,小売,E03358
2673,夢みつけ隊,小売,E03360
2674,ハードオフコーポレーション,小売,E03361
2676,高千穂交易,商社・卸売,E02927
2678,アスクル,小売,E03363
2681,ゲオホールディングス,小売,E03367
2683,魚喜,小売,E03365
2685,アンドエスティＨＤ,小売,E03368
2686,ジーフット,小売,E03370
2687,シー・ヴイ・エス・ベイエリア,情報通信・サービスその他,E03372
2692,伊藤忠食品,商社・卸売,E02931
2693,ＹＫＴ,商社・卸売,E02932
2694,焼肉坂井ホールディングス,小売,E03374
2698,キャンドゥ,小売,E03377
2702,日本マクドナルドホールディングス,小売,E03366
2705,大戸屋ホールディングス,小売,E03380
2708,久世,商社・卸売,E02938
2721,ジェイホールディングス,商社・卸売,E05241
2726,パルグループホールディングス,小売,E03387
2733,あらた,商社・卸売,E02947
2737,トーメンデバイス,商社・卸売,E02946
2742,ハローズ,小売,E03395
2743,ピクセルカンパニーズ,商社・卸売,E02949
2747,北雄ラッキー,小売,E03397
2749,ＪＰホールディングス,情報通信・サービスその他,E05306
2751,テンポスホールディングス,商社・卸売,E02953
2752,フジオフードグループ本社,小売,E03400
2753,あみやき亭,小売,E03398
2763,エフティグループ,商社・卸売,E03405
2764,ひらまつ,小売,E03406
2767,円谷フィールズホールディングス,商社・卸売,E03407
2768,双日,商社・卸売,E02958
2776,新都ホールディングス,商社・卸売,E02960
2778,パレモ・ホールディングス,小売,E03415
2782,セリア,小売,E03418
2784,アルフレッサ　ホールディングス,商社・卸売,E02962
2788,アップルインターナショナル,商社・卸売,E02963
2789,カルラ,小売,E03422
2795,日本プリメックス,商社・卸売,E02964
2798,ワイズテーブルコーポレーション,小売,E03428
2801,キッコーマン,食品,E00435
2802,味の素,食品,E00436
2804,ブルドックソース,食品,E00466
2805,ヱスビー食品,食品,E00452
2806,ユタカフーズ,食品,E00465
2811,カゴメ,食品,E00444
2813,和弘食品,食品,E00478
2814,佐藤食品工業,食品,E00484
2815,アリアケジャパン,食品,E00486
2816,ダイショー,食品,E00501
2818,ピエトロ,食品,E00513
2819,エバラ食品工業,食品,E00514
2831,はごろもフーズ,食品,E00508
2871,ニチレイ,食品,E00446
2872,セイヒョー,食品,E00447
2875,東洋水産,食品,E00461
2876,デルソーレ,食品,E00488
2877,日東ベスト,食品,E00498
2882,イートアンドホールディングス,食品,E25551
2883,大冷,食品,E31012
2884,ヨシムラ・フード・ホールディングス,食品,E32138
2892,日本食品化工,食品,E00442
2894,石井食品,食品,E00453
2897,日清食品ホールディングス,食品,E00457
2901,ウェルディッシュ,食品,E00471
2903,シノブフーズ,食品,E00473
2907,あじかん,食品,E00480
2908,フジッコ,食品,E00481
2911,旭松食品,食品,E00487
2914,日本たばこ産業,食品,E00492
2915,ケンコーマヨネーズ,食品,E00493
2916,仙波糖化工業,食品,E00494
2918,わらべや日洋ホールディングス,食品,E00496
2922,なとり,食品,E00506
2923,サトウ食品,食品,E00510
2924,イフジ産業,食品,E00511
2931,ユーグレナ,食品,E27054
2932,ＳＴＩフードホールディングス,食品,E35947
2933,紀文食品,食品,E36466
2935,ピックルスホールディングス,食品,E37741
2936,ベースフード,食品,E38104
2937,サンクゼール,食品,E38168
2981,ランディックス,不動産,E35303
2982,ＡＤワークスグループ,不動産,E35340
2983,アールプランナー,不動産,E35144
2984,ヤマイチエステート,不動産,E35597
2986,ＬＡホールディングス,不動産,E35631
2993,長栄,不動産,E37141
2997,ストレージ王,不動産,E37595
2998,クリアル,不動産,E37504
3001,片倉工業,素材・化学,E00524
3002,グンゼ,素材・化学,E00520
3003,ヒューリック,不動産,E00523
3004,神栄,商社・卸売,E02542
3011,バナーズ,小売,E00585
3023,ラサ商事,商社・卸売,E02547
3024,クリエイト,商社・卸売,E02997
3031,ラクーンホールディングス,情報通信・サービスその他,E05563
3034,クオールホールディングス,小売,E03476
3036,アルコニックス,商社・卸売,E02998
3042,セキュアヴェイル,情報通信・サービスその他,E05606
3053,ペッパーフードサービス,小売,E03478
3054,ハイパー,商社・卸売,E05627
3058,三洋堂ホールディングス,小売,E03487
3059,ヒラキ,小売,E03494
3063,ジェイグループホールディングス,小売,E03495
3064,ＭｏｎｏｔａＲＯ,小売,E03497
3065,ライフフーズ,小売,E03490
3068,ＷＤＩ,小売,E03496
3069,ＪＦＬＡホールディングス,食品,E03508
3071,ストリーム,小売,E03506
3077,ホリイフードサービス,小売,E03505
3079,ディーブイエックス,商社・卸売,E03005
3083,スターシーズ,小売,E03498
3086,Ｊ．フロント　リテイリング,小売,E03516
3087,ドトール・日レスホールディングス,小売,E03518
3088,マツキヨココカラ＆カンパニー,小売,E03519
3091,ブロンコビリー,小売,E03517
3092,ＺＯＺＯ,小売,E05725
3093,トレジャー・ファクトリー,小売,E03520
3094,スーパーバリュー,小売,E03523
3096,オーシャンシステム,小売,E03524
3099,三越伊勢丹ホールディングス,小売,E03521
3101,東洋紡,素材・化学,E00525
3103,ユニチカ,素材・化学,E00527
3104,富士紡ホールディングス,素材・化学,E00543
3105,日清紡ホールディングス,電機・精密,E00544
3106,倉敷紡績,素材・化学,E00528
3107,ダイワボウホールディングス,商社・卸売,E00529
3109,シキボウ,素材・化学,E00530
3111,オーミケンシ,素材・化学,E00531
3113,ＵＮＩＶＡ・Ｏａｋホールディングス,金融（除く銀行）,E00541
3116,トヨタ紡織,自動車・輸送機,E00540
3121,マーチャント・バンカーズ,情報通信・サービスその他,E00545
3123,サイボー,素材・化学,E00534
3131,シンデン・ハイテックス,商社・卸売,E23741
3132,マクニカホールディングス,商社・卸売,E31167
3133,海帆,小売,E31367
3134,Ｈａｍｅｅ,小売,E31386
3137,ファンデリー,小売,E31574
3138,富士山マガジンサービス,小売,E31625
3143,オーウイル,商社・卸売,E21832
3151,バイタルケーエスケー・ホールディングス,商社・卸売,E22440
3153,八洲電機,商社・卸売,E02812
3156,レスター,商社・卸売,E23245
3157,ジオリーブグループ,商社・卸売,E23288
3159,丸善ＣＨＩホールディングス,小売,E23841
3161,アゼアス,商社・卸売,E24248
3166,ＯＣＨＩホールディングス,商社・卸売,E24536
3167,ＴＯＫＡＩホールディングス,商社・卸売,E25165
3169,ミサワ,小売,E26095
3173,Ｃｏｍｉｎｉｘ,商社・卸売,E26290
3175,エー・ピーホールディングス,小売,E26842
3177,ありがとうサービス,小売,E26821
3178,チムニー,小売,E23818
3179,シュッピン,小売,E27051
3181,買取王国,小売,E27202
3182,オイシックス・ラ・大地,小売,E27260
3183,ウイン・パートナーズ,商社・卸売,E27210
3184,ＩＣＤＡホールディングス,小売,E27572
3185,夢展望,小売,E27615
3192,白鳩,小売,E30504
3196,ホットランドホールディングス,小売,E30898
3197,すかいらーくホールディングス,小売,E03515
3198,ＳＦＰホールディングス,小売,E31029
3199,綿半ホールディングス,小売,E31104
3202,ダイトウボウ,素材・化学,E00547
3204,トーア紡コーポレーション,素材・化学,E00556
3205,ダイドーリミテッド,素材・化学,E00550
3221,ヨシックスホールディングス,小売,E30656
3222,ユナイテッド・スーパーマーケット・ホールディングス,小売,E31159
3223,エスエルディー,小売,E31291
3224,ゼネラル・オイスター,小売,E31321
3231,野村不動産ホールディングス,不動産,E04060
3232,三重交通グループホールディングス,不動産,E04233
3237,イントランス,不動産,E05651
3238,セントラル総合開発,不動産,E04065
3241,ウィル,不動産,E04068
3246,コーセーアールイー,不動産,E04075
3252,地主,不動産,E05692
3261,グランディーズ,不動産,E27046
3276,ＪＰＭＣ,不動産,E25870
3277,サンセイランディック,不動産,E26086
3284,フージャースホールディングス,不動産,E27281
3289,東急不動産ホールディングス,不動産,E27633
3291,飯田グループホールディングス,不動産,E27759
3293,アズマハウス,不動産,E30066
3294,イーグランド,不動産,E30124
3299,ムゲンエステート,不動産,E30649
3302,帝国繊維,素材・化学,E00559
3306,日本製麻,商社・卸売,E00558
3315,日本コークス工業,エネルギー資源,E00030
3317,フライングガーデン,小売,E03432
3326,ランシステム,情報通信・サービスその他,E03434
3329,東和フードサービス,小売,E03436
3333,あさひ,小売,E03439
3341,日本調剤,小売,E05422
3352,バッファロー,小売,E03447
3353,メディカル一光グループ,小売,E03443
3355,クリヤマホールディングス,商社・卸売,E02979
3358,ワイエスフード,小売,E03451
3361,トーエル,小売,E03454
3371,ソフトクリエイトホールディングス,情報通信・サービスその他,E05485
3372,関門海,小売,E03457
3374,内外テック,商社・卸売,E02986
3375,ＺＯＡ,小売,E03460
3382,セブン＆アイ・ホールディングス,小売,E03462
3386,コスモ・バイオ,商社・卸売,E02991
3387,クリエイト・レストランツ・ホールディングス,小売,E05517
3388,明治電機工業,商社・卸売,E02992
3392,デリカフーズホールディングス,商社・卸売,E02994
3393,スターティアホールディングス,商社・卸売,E05539
3395,サンマルクホールディングス,小売,E05556
3396,フェリシモ,小売,E03467
3397,トリドールホールディングス,小売,E03468
3399,丸千代山岡家,小売,E03470
3401,帝人,素材・化学,E00872
3402,東レ,素材・化学,E00873
3405,クラレ,素材・化学,E00876
3407,旭化成,素材・化学,E00877
3409,北紡,素材・化学,E00566
3415,ＴＯＫＹＯ　ＢＡＳＥ,小売,E31742
3416,ピクスタ,小売,E31749
3417,大木ヘルスケアホールディングス,商社・卸売,E31624
3422,Ｊ－ＭＡＸ,建設・資材,E01452
3423,エスイー,建設・資材,E01298
3431,宮地エンジニアリンググループ,建設・資材,E01461
3433,トーカロ,建設・資材,E01443
3434,アルファＣｏ,建設・資材,E02245
3435,サンコーテクノ,建設・資材,E01462
3436,ＳＵＭＣＯ,建設・資材,E02103
3437,特殊電極,建設・資材,E01464
3443,川田テクノロジーズ,建設・資材,E21955
3444,菊池製作所,建設・資材,E22016
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,建設・資材,E31042
3447,信和,建設・資材,E33834
3449,テクノフレックス,建設・資材,E35294
3452,ビーロット,不動産,E31024
3465,ケイアイスター不動産,不動産,E31979
3467,アグレ都市デザイン,不動産,E32158
3474,Ｇ－ＦＡＣＴＯＲＹ,不動産,E32486
3477,フォーライフ,不動産,E32793
3479,ティーケーピー,不動産,E20616
3482,ロードスターキャピタル,不動産,E32779
3484,イノベーションホールディングス,不動産,E33435
3486,グローバル・リンク・マネジメント,不動産,E33579
3489,フェイスネットワーク,不動産,E33819
3512,日本フエルト,素材・化学,E00573
3513,イチカワ,素材・化学,E00572
3521,テルマー湯ホールディングス,情報通信・サービスその他,E00576
3524,日東製網,素材・化学,E00578
3526,芦森工業,自動車・輸送機,E00577
3529,アツギ,素材・化学,E00567
3537,昭栄薬品,商社・卸売,E32146
3542,ベガコーポレーション,小売,E32420
3543,コメダホールディングス,商社・卸売,E32427
3546,アレンザホールディングス,小売,E32382
3548,バロックジャパンリミテッド,小売,E32697
3551,ダイニック,素材・化学,E00996
3553,共和レザー,素材・化学,E00994
3556,リネットジャパングループ,小売,E31751
3557,ユナイテッド＆コレクティブ,小売,E32965
3558,ジェイドグループ,小売,E32966
3559,ピーバンドットコム,商社・卸売,E33016
3561,力の源ホールディングス,小売,E33011
3562,Ｎｏ．１,商社・卸売,E33037
3565,アセンテック,商社・卸売,E33109
3566,ユニフォームネクスト,小売,E33305
3569,セーレン,素材・化学,E00562
3571,ソトー,素材・化学,E00569
3577,東海染工,素材・化学,E00563
3583,オーベクス,素材・化学,E00584
3591,ワコールホールディングス,素材・化学,E00590
3593,ホギメディカル,素材・化学,E02315
3598,山喜,素材・化学,E02773
3608,ＴＳＩホールディングス,素材・化学,E25234
3611,マツオカコーポレーション,素材・化学,E33574
3612,ワールド,素材・化学,E02767
3622,ネットイヤーグループ,情報通信・サービスその他,E05736
3623,ビリングシステム,情報通信・サービスその他,E05741
3626,ＴＩＳ,情報通信・サービスその他,E05739
3627,テクミラホールディングス,情報通信・サービスその他,E20385
3633,ＧＭＯペパボ,情報通信・サービスその他,E22101
3634,ソケッツ,情報通信・サービスその他,E22461
3635,コーエーテクモホールディングス,情報通信・サービスその他,E22460
3641,パピレス,情報通信・サービスその他,E24453
3646,駅探,情報通信・サービスその他,E25206
3648,ＡＧＳ,情報通信・サービスその他,E25263
3649,ファインデックス,情報通信・サービスその他,E25283
3652,ディジタルメディアプロフェッショナル,情報通信・サービスその他,E25620
3656,ＫＬａｂ,情報通信・サービスその他,E25867
3657,ポールトゥウィンホールディングス,情報通信・サービスその他,E25898
3659,ネクソン,情報通信・サービスその他,E25850
3661,エムアップホールディングス,情報通信・サービスその他,E26332
3663,セルシス,情報通信・サービスその他,E26231
3664,モブキャストホールディングス,情報通信・サービスその他,E26596
3665,エニグモ,情報通信・サービスその他,E26703
3667,ｅｎｉｓｈ,情報通信・サービスその他,E27047
3671,ソフトマックス,情報通信・サービスその他,E27276
3673,ブロードリーフ,情報通信・サービスその他,E27361
3676,デジタルハーツホールディングス,情報通信・サービスその他,E27655
3678,メディアドゥ,情報通信・サービスその他,E30002
3679,じげん,情報通信・サービスその他,E30047
3681,ブイキューブ,情報通信・サービスその他,E30114
3682,エンカレッジ・テクノロジ,情報通信・サービスその他,E30085
3683,サイバーリンクス,情報通信・サービスその他,E30398
3686,ディー・エル・イー,情報通信・サービスその他,E30466
3688,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,情報通信・サービスその他,E22007
3692,ＦＦＲＩセキュリティ,情報通信・サービスその他,E30877
3694,オプティム,情報通信・サービスその他,E30918
3695,ＧＭＯプロダクトプラットフォーム,情報通信・サービスその他,E30857
3696,セレス,情報通信・サービスその他,E30919
3708,特種東海製紙,素材・化学,E00691
3719,ＡＩストーム,情報通信・サービスその他,E05348
3727,アプリックス,情報通信・サービスその他,E05369
3741,セック,情報通信・サービスその他,E05400
3744,サイオス,情報通信・サービスその他,E05413
3753,フライトソリューションズ,情報通信・サービスその他,E05432
3758,アエリア,情報通信・サービスその他,E05453
3762,テクマトリックス,情報通信・サービスその他,E05463
3763,プロシップ,情報通信・サービスその他,E05466
3765,ガンホー・オンライン・エンターテイメント,情報通信・サービスその他,E05474
3766,システムズ・デザイン,情報通信・サービスその他,E05469
3768,リスクモンスター,情報通信・サービスその他,E05471
3771,システムリサーチ,情報通信・サービスその他,E05487
3772,ウェルス・マネジメント,不動産,E03801
3773,アドバンスト・メディア,情報通信・サービスその他,E05496
3774,インターネットイニシアティブ,情報通信・サービスその他,E05480
3776,ブロードバンドタワー,情報通信・サービスその他,E05494
3777,環境フレンドリーホールディングス,情報通信・サービスその他,E05510
3778,さくらインターネット,情報通信・サービスその他,E05518
3779,ジェイ・エスコムホールディングス,情報通信・サービスその他,E05543
3787,テクノマセマティカル,情報通信・サービスその他,E05445
3788,ＧＭＯグローバルサイン・ホールディングス,情報通信・サービスその他,E05545
3793,ドリコム,情報通信・サービスその他,E05552
3796,いい生活,情報通信・サービスその他,E05551
3798,ＵＬＳグループ,情報通信・サービスその他,E05521
3799,キーウェアソリューションズ,情報通信・サービスその他,E05553
3802,エコミック,情報通信・サービスその他,E05578
3803,イメージ情報開発,情報通信・サービスその他,E05573
3807,フィスコ,情報通信・サービスその他,E05457
3817,ＳＲＡホールディングス,情報通信・サービスその他,E05640
3825,リミックスポイント,小売,E05645
3826,システムインテグレータ,情報通信・サービスその他,E05643
3834,朝日ネット,情報通信・サービスその他,E04496
3835,ｅＢＡＳＥ,情報通信・サービスその他,E05659
3837,アドソル日進,情報通信・サービスその他,E05664
3839,ＯＤＫソリューションズ,情報通信・サービスその他,E05679
3841,ジーダット,情報通信・サービスその他,E05669
3842,ネクストジェン,情報通信・サービスその他,E05677
3843,フリービット,情報通信・サービスその他,E05680
3844,コムチュア,情報通信・サービスその他,E05678
3845,アイフリークモバイル,情報通信・サービスその他,E05682
3848,データ・アプリケーション,情報通信・サービスその他,E05688
3851,日本一ソフトウェア,情報通信・サービスその他,E02489
3853,アステリア,情報通信・サービスその他,E05699
3858,ユビキタスＡＩ,情報通信・サービスその他,E05719
3861,王子ホールディングス,素材・化学,E00642
3863,日本製紙,素材・化学,E11873
3864,三菱製紙,素材・化学,E00644
3865,北越コーポレーション,素材・化学,E00645
3877,中越パルプ工業,素材・化学,E00649
3878,巴川コーポレーション,素材・化学,E00650
3891,ニッポン高度紙工業,素材・化学,E00685
